scope;key;label;required;nl;fr;en;de;es;pl;pt;tr;el
CATALOG;catalog.brochure.palette.heading;Colour palette heading;true;Uw kleur. Uw collectie.;Votre couleur. Votre collection.;Your colour. Your collection.;Ihre Farbe. Ihre Kollektion.;Su color. Su colección.;Twój kolor. Twoja kolekcja.;A sua cor. A sua coleção.;Renginiz. Koleksiyonunuz.;Το χρώμα σας. Η συλλογή σας.
CATALOG;catalog.brochure.palette.intro;Colour palette introduction;true;Stel uw collectie samen met rozenkoppen en bloemen van foam of zeep, afgestemd op uw concept.;Composez votre collection avec des têtes de roses et des fleurs en mousse ou en savon, adaptées à votre concept.;Build your collection with rose heads and flowers made from foam or soap, tailored to your concept.;Gestalten Sie Ihre Kollektion mit Rosenköpfen und Blumen aus Schaumstoff oder Seife, passend zu Ihrem Konzept.;Cree su colección con cabezas de rosa y flores de espuma o jabón, adaptadas a su concepto.;Stwórz kolekcję z główek róż oraz kwiatów z pianki lub mydła, dopasowaną do Twojej koncepcji.;Crie a sua coleção com cabeças de rosa e flores de espuma ou sabão, adaptadas ao seu conceito.;Konseptinize uygun gül başları, köpük veya sabun çiçekleriyle koleksiyonunuzu oluşturun.;Δημιουργήστε τη συλλογή σας με κεφαλές τριαντάφυλλων και άνθη από αφρώδες υλικό ή σαπούνι, προσαρμοσμένα στην ιδέα σας.
CATALOG;catalog.brochure.palette.caption;Colour palette caption;true;Kleuren ter inspiratie. Kleurtinten kunnen per materiaal en partij verschillen. Mogelijkheden en minimale aantallen bevestigen we in uw offerte.;Des couleurs pour vous inspirer. Les teintes peuvent varier selon le matériau et le lot. Les possibilités et les quantités minimales sont confirmées dans votre devis.;Colours for inspiration. Shades may vary by material and batch. Options and minimum quantities are confirmed in your quotation.;Farben zur Inspiration. Farbtöne können je nach Material und Charge variieren. Möglichkeiten und Mindestmengen bestätigen wir in Ihrem Angebot.;Colores para inspirarse. Los tonos pueden variar según el material y el lote. Las opciones y las cantidades mínimas se confirman en su presupuesto.;Kolory dla inspiracji. Odcienie mogą różnić się zależnie od materiału i partii. Możliwości i minimalne ilości potwierdzamy w ofercie.;Cores para inspiração. Os tons podem variar consoante o material e o lote. As opções e as quantidades mínimas são confirmadas no seu orçamento.;Renkler ilham amaçlıdır. Tonlar malzemeye ve üretim partisine göre değişebilir. Seçenekler ve minimum miktarlar teklifinizde teyit edilir.;Χρώματα για έμπνευση. Οι αποχρώσεις μπορεί να διαφέρουν ανά υλικό και παρτίδα. Οι δυνατότητες και οι ελάχιστες ποσότητες επιβεβαιώνονται στην προσφορά σας.
CATALOG;catalog.brochure.palette.imagealt;Colour palette image alternative text;true;Twintig rozenkleuren, van wit en zachte pasteltinten tot dieprood, blauw en zwart.;Vingt couleurs de roses, du blanc et des pastels doux au rouge profond, au bleu et au noir.;Twenty rose colours, from white and soft pastels to deep red, blue and black.;Zwanzig Rosenfarben, von Weiß und sanften Pastelltönen bis zu tiefem Rot, Blau und Schwarz.;Veinte colores de rosas, desde el blanco y los tonos pastel suaves hasta el rojo intenso, el azul y el negro.;Dwadzieścia kolorów róż, od bieli i delikatnych pasteli po głęboką czerwień, błękit i czerń.;Vinte cores de rosas, do branco e dos tons pastel suaves ao vermelho intenso, azul e preto.;Beyaz ve yumuşak pastel tonlardan koyu kırmızı, mavi ve siyaha uzanan yirmi gül rengi.;Είκοσι χρώματα τριαντάφυλλων, από λευκό και απαλά παστέλ έως βαθύ κόκκινο, μπλε και μαύρο.
CATALOG;catalog.brochure.palette.heads.title;Rose heads material title;true;Rozenkoppen;Têtes de roses;Rose heads;Rosenköpfe;Cabezas de rosa;Główki róż;Cabeças de rosa;Gül başları;Κεφαλές τριαντάφυλλων
CATALOG;catalog.brochure.palette.heads.body;Rose heads material body;true;Kies kleur en formaat voor bloemwerk, decoratie of uw eigen presentatie. We stemmen de mogelijkheden af op uw toepassing.;Choisissez la couleur et la taille pour vos compositions florales, vos décors ou votre propre présentation. Nous définissons les possibilités selon votre usage.;Choose colour and size for floral work, decoration or your own presentation. We confirm the options for your intended use.;Wählen Sie Farbe und Größe für Floristik, Dekoration oder Ihre eigene Präsentation. Wir stimmen die Möglichkeiten auf Ihren Einsatz ab.;Elija el color y el tamaño para trabajos florales, decoración o su propia presentación. Definimos las opciones según el uso previsto.;Wybierz kolor i rozmiar do kompozycji florystycznych, dekoracji lub własnej ekspozycji. Dopasujemy możliwości do Twojego zastosowania.;Escolha a cor e o tamanho para trabalhos florais, decoração ou a sua própria apresentação. Definimos as opções para a utilização pretendida.;Çiçek tasarımları, dekorasyon veya kendi sunumunuz için renk ve boyut seçin. Seçenekleri kullanım amacınıza göre birlikte belirleyelim.;Επιλέξτε χρώμα και μέγεθος για ανθοσυνθέσεις, διακόσμηση ή τη δική σας παρουσίαση. Προσαρμόζουμε τις δυνατότητες στη χρήση που επιθυμείτε.
CATALOG;catalog.brochure.palette.foam.title;Foam flowers material title;true;Foam bloemen;Fleurs en mousse;Foam flowers;Schaumstoffblumen;Flores de espuma;Kwiaty piankowe;Flores de espuma;Köpük çiçekler;Άνθη από αφρώδες υλικό
CATALOG;catalog.brochure.palette.foam.body;Foam flowers material body;true;Een decoratieve invulling voor creatieve collecties. Bespreek de gewenste kleur, vorm en verwerking met ons.;Une option décorative pour des collections créatives. Échangeons sur la couleur, la forme et la mise en œuvre souhaitées.;A decorative option for creative collections. Discuss your preferred colour, shape and arrangement with us.;Eine dekorative Möglichkeit für kreative Kollektionen. Besprechen Sie mit uns die gewünschte Farbe, Form und Verarbeitung.;Una opción decorativa para colecciones creativas. Comente con nosotros el color, la forma y la disposición que desea.;Dekoracyjna propozycja do kreatywnych kolekcji. Omów z nami wybrany kolor, kształt i sposób wykorzystania.;Uma opção decorativa para coleções criativas. Fale connosco sobre a cor, a forma e a disposição pretendidas.;Yaratıcı koleksiyonlar için dekoratif bir seçenek. İstediğiniz renk, biçim ve düzenlemeyi bizimle görüşün.;Μια διακοσμητική επιλογή για δημιουργικές συλλογές. Συζητήστε μαζί μας το χρώμα, το σχήμα και τη σύνθεση που προτιμάτε.
CATALOG;catalog.brochure.palette.soap.title;Soap flowers material title;true;Zeepbloemen;Fleurs de savon;Soap flowers;Seifenblumen;Flores de jabón;Kwiaty mydlane;Flores de sabão;Sabun çiçekleri;Άνθη από σαπούνι
CATALOG;catalog.brochure.palette.soap.body;Soap flowers material body;true;Voor decoratieve geschenkconcepten en flowerboxen. Kleur, samenstelling en verpakking stemmen we samen af.;Pour des cadeaux décoratifs et des boîtes à fleurs. Nous définissons ensemble la couleur, la composition et l’emballage.;For decorative gift concepts and flower boxes. We agree on colour, composition and packaging together.;Für dekorative Geschenkideen und Blumenboxen. Farbe, Zusammenstellung und Verpackung stimmen wir gemeinsam ab.;Para conceptos de regalo decorativos y cajas de flores. Acordamos juntos el color, la composición y el embalaje.;Do dekoracyjnych zestawów prezentowych i pudełek z kwiatami. Wspólnie ustalimy kolor, kompozycję i opakowanie.;Para conceitos de presentes decorativos e caixas de flores. Definimos em conjunto a cor, a composição e a embalagem.;Dekoratif hediye konseptleri ve çiçek kutuları için. Renk, içerik ve ambalajı birlikte belirleyelim.;Για διακοσμητικές προτάσεις δώρων και κουτιά λουλουδιών. Συμφωνούμε μαζί το χρώμα, τη σύνθεση και τη συσκευασία.
CATALOG;catalog.brochure.palette.colour.white;Palette colour white;true;Wit;Blanc;White;Weiß;Blanco;Biały;Branco;Beyaz;Λευκό
CATALOG;catalog.brochure.palette.colour.ivory;Palette colour ivory;true;Ivoor;Ivoire;Ivory;Elfenbein;Marfil;Kość słoniowa;Marfim;Fildişi;Ιβουάρ
CATALOG;catalog.brochure.palette.colour.champagne;Palette colour champagne;true;Champagne;Champagne;Champagne;Champagner;Champán;Szampański;Champanhe;Şampanya;Σαμπανί
CATALOG;catalog.brochure.palette.colour.peach;Palette colour peach;true;Perzik;Pêche;Peach;Pfirsich;Melocotón;Brzoskwiniowy;Pêssego;Şeftali;Ροδακινί
CATALOG;catalog.brochure.palette.colour.yellow;Palette colour yellow;true;Geel;Jaune;Yellow;Gelb;Amarillo;Żółty;Amarelo;Sarı;Κίτρινο
CATALOG;catalog.brochure.palette.colour.blushPink;Palette colour blush pink;true;Poederroze;Rose poudré;Blush Pink;Puderrosa;Rosa empolvado;Pudrowy róż;Rosa-pó;Pudra pembesi;Ροζ πούδρας
CATALOG;catalog.brochure.palette.colour.rosePink;Palette colour rose pink;true;Roze;Rose;Rose Pink;Rosa;Rosa;Różowy;Rosa;Pembe;Ροζ
CATALOG;catalog.brochure.palette.colour.fuchsia;Palette colour fuchsia;true;Fuchsia;Fuchsia;Fuchsia;Fuchsia;Fucsia;Fuksja;Fúcsia;Fuşya;Φούξια
CATALOG;catalog.brochure.palette.colour.cherryPink;Palette colour cherry pink;true;Kersenroze;Rose cerise;Cherry Pink;Kirschrosa;Rosa cereza;Wiśniowy róż;Rosa-cereja;Kiraz pembesi;Ροζ κερασί
CATALOG;catalog.brochure.palette.colour.orange;Palette colour orange;true;Oranje;Orange;Orange;Orange;Naranja;Pomarańczowy;Laranja;Turuncu;Πορτοκαλί
CATALOG;catalog.brochure.palette.colour.red;Palette colour red;true;Rood;Rouge;Red;Rot;Rojo;Czerwony;Vermelho;Kırmızı;Κόκκινο
CATALOG;catalog.brochure.palette.colour.bordeaux;Palette colour bordeaux;true;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Burdeos;Bordowy;Bordô;Bordo;Μπορντό
CATALOG;catalog.brochure.palette.colour.lilac;Palette colour lilac;true;Lila;Lilas;Lilac;Flieder;Lila;Liliowy;Lilás;Lila;Λιλά
CATALOG;catalog.brochure.palette.colour.purple;Palette colour purple;true;Paars;Violet;Purple;Violett;Morado;Fioletowy;Roxo;Mor;Μοβ
CATALOG;catalog.brochure.palette.colour.black;Palette colour black;true;Zwart;Noir;Black;Schwarz;Negro;Czarny;Preto;Siyah;Μαύρο
CATALOG;catalog.brochure.palette.colour.lightBlue;Palette colour light blue;true;Lichtblauw;Bleu clair;Light Blue;Hellblau;Azul claro;Jasnoniebieski;Azul-claro;Açık mavi;Γαλάζιο
CATALOG;catalog.brochure.palette.colour.blue;Palette colour blue;true;Blauw;Bleu;Blue;Blau;Azul;Niebieski;Azul;Mavi;Μπλε
CATALOG;catalog.brochure.palette.colour.navy;Palette colour navy;true;Marineblauw;Bleu marine;Navy;Marineblau;Azul marino;Granatowy;Azul-marinho;Lacivert;Μπλε ναυτικό
CATALOG;catalog.brochure.palette.colour.mint;Palette colour mint;true;Mintgroen;Vert menthe;Mint;Mintgrün;Verde menta;Miętowy;Verde-menta;Nane yeşili;Πράσινο μέντας
CATALOG;catalog.brochure.palette.colour.emerald;Palette colour emerald;true;Smaragdgroen;Vert émeraude;Emerald;Smaragdgrün;Verde esmeralda;Szmaragdowy;Verde-esmeralda;Zümrüt yeşili;Σμαραγδί
